book_id	isbn	authors	publication_year	title	language_code	average_rating
1	439023483	Suzanne Collins	2008	The Hunger Games	eng	4.34
2	439554934	J.K. Rowling, Mary GrandPré	1997	Harry Potter and the Philosopher's Stone	eng	4.44
3	316015849	Stephenie Meyer	2005	Twilight	en-US	3.57
4	61120081	Harper Lee	1960	To Kill a Mockingbird	eng	4.25
5	743273567	F. Scott Fitzgerald	1925	The Great Gatsby	eng	3.89
6	525478817	John Green	2012	The Fault in Our Stars	eng	4.26
7	618260307	J.R.R. Tolkien	1937	The Hobbit or There and Back Again	en-US	4.25
8	316769177	J.D. Salinger	1951	The Catcher in the Rye	eng	3.79
9	1416524797	Dan Brown	2000	Angels & Demons 	en-CA	3.85
10	679783261	Jane Austen	1813	Pride and Prejudice	eng	4.24
11	1594480001	Khaled Hosseini	2003	The Kite Runner 	eng	4.26
12	62024035	Veronica Roth	2011	Divergent	eng	4.24
13	451524934	George Orwell, Erich Fromm, Celâl Üster	1949	Nineteen Eighty-Four	eng	4.14
14	452284244	George Orwell	1945	Animal Farm: A Fairy Story	eng	3.87
15	553296981	Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday	1947	Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944	eng	4.1
16	307269752	Stieg Larsson, Reg Keeland	2005	Män som hatar kvinnor	eng	4.11
17	439023491	Suzanne Collins	2009	Catching Fire	eng	4.3
18	043965548X	J.K. Rowling, Mary GrandPré, Rufus Beck	1999	Harry Potter and the Prisoner of Azkaban	eng	4.53
19	618346252	J.R.R. Tolkien	1954	 The Fellowship of the Ring	eng	4.34
20	439023513	Suzanne Collins	2010	Mockingjay	eng	4.03
21	439358078	J.K. Rowling, Mary GrandPré	2003	Harry Potter and the Order of the Phoenix	eng	4.46
22	316166685	Alice Sebold	2002	The Lovely Bones	eng	3.77
23	439064864	J.K. Rowling, Mary GrandPré	1998	Harry Potter and the Chamber of Secrets	eng	4.37
24	439139600	J.K. Rowling, Mary GrandPré	2000	Harry Potter and the Goblet of Fire	eng	4.53
25	545010225	J.K. Rowling, Mary GrandPré	2007	Harry Potter and the Deathly Hallows	eng	4.61
26	307277674	Dan Brown	2003	The Da Vinci Code	eng	3.79
27	439785960	J.K. Rowling, Mary GrandPré	2005	Harry Potter and the Half-Blood Prince	eng	4.54
28	140283331	William Golding	1954	Lord of the Flies 	eng	3.64
29	743477111	William Shakespeare, Robert           Jackson	1595	An Excellent conceited Tragedie of Romeo and Juliet	eng	3.73
30	297859382	Gillian Flynn	2012	Gone Girl	eng	4.03
31	399155341	Kathryn Stockett	2009	The Help	eng	4.45
32	142000671	John Steinbeck	1937	Of Mice and Men 	eng	3.84
33	739326228	Arthur Golden	1997	Memoirs of a Geisha	eng	4.08
34	1612130291	E.L. James	2011	Fifty Shades of Grey	eng	3.67
35	61122416	Paulo Coelho, Alan R. Clarke	1988	O Alquimista	eng	3.82
36	385732554	Lois Lowry	1993	The Giver	eng	4.12
37	60764899	C.S. Lewis	1950	The Lion, the Witch and the Wardrobe	eng	4.19
38	965818675	Audrey Niffenegger	2003	The Time Traveler's Wife	eng	3.95
39	553588486	George R.R. Martin	1996	A Game of Thrones	eng	4.45
40	143038419	Elizabeth Gilbert	2006	Eat, pray, love: one woman's search for everything across Italy, India and Indonesia	eng	3.51
41	786838655	Rick Riordan	2005	The Lightning Thief	eng	4.23
42	451529308	Louisa May Alcott	1868	Little Women	en-US	4.04
43	142437204	Charlotte Brontë, Michael Mason	1847	Jane Eyre	eng	4.1
44	553816713	Nicholas Sparks	1996	The Notebook	eng	4.06
45	770430074	Yann Martel	2001	Life of Pi		3.88
46	1565125606	Sara Gruen	2006	Water for Elephants	eng	4.07
47	375831002	Markus Zusak	2005	The Book Thief	eng	4.36
48	307347974	Ray Bradbury	1953	Fahrenheit 451	spa	3.97
49	316160199	Stephenie Meyer	2006	New Moon (Twilight, #2)	eng	3.52
50	60513039	Shel Silverstein	1974	Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein	eng	4.29
51	1416914285	Cassandra Clare	2007	City of Bones	eng	4.12
52	316160202	Stephenie Meyer	2007	Eclipse	en-US	3.69
53	375826696	Christopher Paolini	2002	Eragon	en-US	3.86
54	345391802	Douglas Adams	1979	The Hitchhiker's Guide to the Galaxy	en-US	4.2
55	60929871	Aldous Huxley	1932	Brave New World	eng	3.97
56	031606792X	Stephenie Meyer	2008	Breaking Dawn	en-US	3.7
57	142001740	Sue Monk Kidd	2001	The Secret Life of Bees	en-US	4.01
58	142437174	Mark Twain, John Seelye, Guy Cardwell	1884	The Adventures of Huckleberry Finn	eng	3.8
59	64410935	E.B. White, Garth Williams, Rosemary Wells	1952	Charlotte's Web	eng	4.15
60	1400032717	Mark Haddon	2003	The Curious Incident of the Dog in the Night-Time	eng	3.85
61	1594633665	Paula Hawkins	2015	The Girl on the Train	eng	3.88
62	679879242	Philip Pullman	1995	Northern Lights	eng	3.94
63	393978893	Emily Brontë, Richard J. Dunn	1847	Wuthering Heights	eng	3.82
64	743454537	Jodi Picoult	2004	My Sister's Keeper	eng	4.06
65	385333846	Kurt Vonnegut Jr.	1969	Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death 	eng	4.06
66	446675539	Margaret Mitchell	1936	Gone with the Wind	eng	4.28
67	1594489505	Khaled Hosseini	2007	A Thousand Splendid Suns	eng	4.34
68	671027344	Stephen Chbosky	1999	The Perks of Being a Wallflower	eng	4.21
69	7442912	Veronica Roth	2012	Insurgent	eng	4.07
70	812550706	Orson Scott Card	1985	Ender's Game	eng	4.3
71	141439475	Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle	1818	Frankenstein; or, The Modern Prometheus	eng	3.75
72	450040186	Stephen King	1977	The Shining	eng	4.17
73	316068047	Stephenie Meyer	2008	The Host	en-US	3.84
74	142402516	John Green	2005	Looking for Alaska	eng	4.09
75	014028009X	Helen Fielding	1996		eng	3.75
76	141439661	Jane Austen, Tony Tanner, Ros Ballaster	1811	Sense and Sensibility	eng	4.06
77	439244196	Louis Sachar, Louis Sachar	1998	Holes	eng	3.93
78	307275558	Lauren Weisberger	2003	The Devil Wears Prada	eng	3.7
79	143039954	Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox	-720	Ὀδύσσεια	eng	3.73
80	156012197	Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta	1946	Le Petit Prince	eng	4.28
81	074324754X	Jeannette Walls	2005	The Glass Castle	eng	4.24
82	385486804	Jon Krakauer	1996	Into the Wild	eng	3.94
83	141439602	Charles Dickens, Richard Maxwell, Hablot Knight Browne	1859	A Tale of Two Cities	eng	3.81
84	030734813X	Michael Crichton	1990	Jurassic Park	spa	3.96
85	60256656	Shel Silverstein	1964	The Giving Tree	eng	4.38
86	385338600	John Grisham	1989	A Time to Kill	eng	4.03
87	374500010	Elie Wiesel, Marion Wiesel	1958	Un di Velt Hot Geshvign	eng	4.3
88	014241493X	John Green	2008	Paper Towns	en-US	3.88
89	345418263	William Goldman	1973	The Princess Bride	en-US	4.25
90	014038572X	S.E. Hinton	1967	The Outsiders	en-US	4.06
91	385737947	James Dashner	2009	The Maze Runner	eng	4.02
92	61234001	Steven D. Levitt, Stephen J. Dubner	2005	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything	en-US	3.93
93	517189607	Frances Hodgson Burnett	1911	The Secret Garden	eng	4.12
94	60531045	Gabriel García Márquez, Gregory Rabassa	1967	Cien años de soledad	eng	4.04
95	375751513	Oscar Wilde, Jeffrey Eugenides	1891	The Picture of Dorian Gray	eng	4.06
96	345803507	E.L. James	2012	Fifty Shades Freed	eng	3.88
